Application Availability for Application Availability This Year,,,
,,,
Quarter,Application Name,NodeName,Application Availability
2,Microsoft IIS,DBSERVER-BR,0.00 %
2,MSSQLSERVER,DBSERVER-BR,32.71 %
2,TESTDB,DBSERVER-BR,0.00 %
3,MSSQLSERVER,DBSERVER-BR,0.00 %
3,TESTDB,DBSERVER-BR,0.00 %
2,Microsoft IIS,DIGI-BANK,99.91 %
2,Windows Scheduled Tasks,DIGI-BANK,100.00 %
3,Microsoft IIS,DIGI-BANK,99.59 %
3,Windows Scheduled Tasks,DIGI-BANK,100.00 %
2,Cisco CallManager,kb-cucm-pub.jbb.local,99.99 %
3,Cisco CallManager,kb-cucm-pub.jbb.local,100.00 %
2,apache2,KBID.kingdombankltd.co.ke,99.93 %
3,apache2,KBID.kingdombankltd.co.ke,100.00 %
2,CBK.JobsScheduler,KBLHP002.KINGDOMBANKLTD.LOCAL,82.88 %
2,Microsoft IIS,KBLHP002.KINGDOMBANKLTD.LOCAL,99.81 %
2,Microsoft.PowerBI.EnterpriseGateway,KBLHP002.KINGDOMBANKLTD.LOCAL,99.39 %
2,MSSQLSERVER,KBLHP002.KINGDOMBANKLTD.LOCAL,0.00 %
2,SearchApp,KBLHP002.KINGDOMBANKLTD.LOCAL,93.93 %
3,CBK.JobsScheduler,KBLHP002.KINGDOMBANKLTD.LOCAL,0.00 %
3,Microsoft IIS,KBLHP002.KINGDOMBANKLTD.LOCAL,100.00 %
3,Microsoft.PowerBI.EnterpriseGateway,KBLHP002.KINGDOMBANKLTD.LOCAL,100.00 %
3,MSSQLSERVER,KBLHP002.KINGDOMBANKLTD.LOCAL,0.00 %
3,SearchApp,KBLHP002.KINGDOMBANKLTD.LOCAL,91.82 %
2,Microsoft IIS,KBLHPA014,0.22 %
3,Microsoft IIS,KBLHPA014,0.00 %
2,Active Directory,KBLHQ001.KINGDOMBANKLTD.LOCAL,99.76 %
3,Active Directory,KBLHQ001.KINGDOMBANKLTD.LOCAL,100.00 %
2,Active Directory,KBLHQ002,0.00 %
2,Windows DHCP Server,KBLSVR46,98.01 %
3,Windows DHCP Server,KBLSVR46,96.13 %
2,KPRINTER.SERVER,KBLSVR48,99.55 %
2,MOVER,KBLSVR48,99.55 %
3,KPRINTER.SERVER,KBLSVR48,65.20 %
3,MOVER,KBLSVR48,65.20 %
